#    L    TT             EE             BB             TE          
   395   0.178820E+04   0.215964E+02   0.430121E-01   0.122921E+02
   396   0.178131E+04   0.215996E+02   0.431431E-01   0.103702E+02
   397   0.177473E+04   0.215990E+02   0.432773E-01   0.845312E+01
   398   0.176868E+04   0.215941E+02   0.434096E-01   0.654200E+01
   399   0.176300E+04   0.215856E+02   0.435452E-01   0.463776E+01
   400   0.175771E+04   0.215733E+02   0.436789E-01   0.274124E+01
   401   0.175287E+04   0.215567E+02   0.438160E-01   0.853044E+00
   402   0.174848E+04   0.215356E+02   0.439512E-01  -0.102590E+01
   403   0.174448E+04   0.215116E+02   0.440897E-01  -0.289499E+01
   404   0.174085E+04   0.214832E+02   0.442264E-01  -0.475268E+01
   405   0.173768E+04   0.214504E+02   0.443666E-01  -0.659971E+01
   406   0.173481E+04   0.214147E+02   0.445049E-01  -0.843389E+01
   407   0.173240E+04   0.213745E+02   0.446467E-01  -0.102566E+02
   408   0.173037E+04   0.213306E+02   0.447866E-01  -0.120635E+02
   409   0.172879E+04   0.212838E+02   0.449301E-01  -0.138568E+02
   410   0.172752E+04   0.212318E+02   0.450717E-01  -0.156356E+02
   411   0.172670E+04   0.211769E+02   0.452169E-01  -0.173978E+02
   412   0.172619E+04   0.211183E+02   0.453602E-01  -0.191440E+02
   413   0.172606E+04   0.210559E+02   0.455072E-01  -0.208729E+02
   414   0.172624E+04   0.209899E+02   0.456523E-01  -0.225842E+02
   415   0.172687E+04   0.209209E+02   0.458011E-01  -0.242760E+02
   416   0.172781E+04   0.208475E+02   0.459481E-01  -0.259494E+02
   417   0.172905E+04   0.207711E+02   0.460987E-01  -0.276039E+02
   418   0.173068E+04   0.206895E+02   0.462475E-01  -0.292365E+02
   419   0.173269E+04   0.206057E+02   0.464001E-01  -0.308479E+02
   420   0.173500E+04   0.205189E+02   0.465507E-01  -0.324380E+02
   421   0.173769E+04   0.204284E+02   0.467052E-01  -0.340054E+02
   422   0.174070E+04   0.203341E+02   0.468578E-01  -0.355508E+02
   423   0.174393E+04   0.202362E+02   0.470142E-01  -0.370720E+02
   424   0.174748E+04   0.201353E+02   0.471687E-01  -0.385696E+02
   425   0.175140E+04   0.200306E+02   0.473272E-01  -0.400416E+02
   426   0.175564E+04   0.199237E+02   0.474836E-01  -0.414885E+02
   427   0.176010E+04   0.198130E+02   0.476440E-01  -0.429110E+02
   428   0.176488E+04   0.196994E+02   0.478024E-01  -0.443056E+02
   429   0.176989E+04   0.195827E+02   0.479648E-01  -0.456737E+02
   430   0.177528E+04   0.194638E+02   0.481252E-01  -0.470152E+02
   431   0.178090E+04   0.193411E+02   0.482897E-01  -0.483286E+02
   432   0.178669E+04   0.192154E+02   0.484520E-01  -0.496147E+02
   433   0.179286E+04   0.190882E+02   0.486185E-01  -0.508705E+02
   434   0.179919E+04   0.189572E+02   0.487828E-01  -0.520989E+02
   435   0.180576E+04   0.188247E+02   0.489513E-01  -0.532978E+02
   436   0.181263E+04   0.186891E+02   0.491176E-01  -0.544670E+02
   437   0.181974E+04   0.185505E+02   0.492881E-01  -0.556051E+02
   438   0.182701E+04   0.184096E+02   0.494564E-01  -0.567122E+02
   439   0.183459E+04   0.182672E+02   0.496288E-01  -0.577895E+02
   440   0.184233E+04   0.181217E+02   0.497991E-01  -0.588343E+02
   441   0.185030E+04   0.179739E+02   0.499735E-01  -0.598485E+02
   442   0.185837E+04   0.178239E+02   0.501457E-01  -0.608302E+02
   443   0.186674E+04   0.176722E+02   0.503221E-01  -0.617799E+02
   444   0.187528E+04   0.175189E+02   0.504963E-01  -0.626962E+02
   445   0.188398E+04   0.173620E+02   0.506746E-01  -0.635799E+02
   446   0.189277E+04   0.172048E+02   0.508506E-01  -0.644293E+02
   447   0.190179E+04   0.170461E+02   0.510309E-01  -0.652468E+02
   448   0.191091E+04   0.168843E+02   0.512088E-01  -0.660307E+02
   449   0.192025E+04   0.167216E+02   0.513909E-01  -0.667797E+02
   450   0.192977E+04   0.165581E+02   0.515706E-01  -0.674959E+02
   451   0.193937E+04   0.163923E+02   0.517546E-01  -0.681771E+02
   452   0.194906E+04   0.162255E+02   0.519361E-01  -0.688254E+02
   453   0.195899E+04   0.160579E+02   0.521219E-01  -0.694387E+02
   454   0.196893E+04   0.158887E+02   0.523051E-01  -0.700183E+02
   455   0.197897E+04   0.157187E+02   0.524926E-01  -0.705643E+02
   456   0.198923E+04   0.155470E+02   0.526776E-01  -0.710702E+02
   457   0.199944E+04   0.153752E+02   0.528668E-01  -0.715494E+02
   458   0.200982E+04   0.152025E+02   0.530534E-01  -0.719844E+02
   459   0.202027E+04   0.150297E+02   0.532442E-01  -0.723897E+02
   460   0.203082E+04   0.148553E+02   0.534324E-01  -0.727599E+02
   461   0.204138E+04   0.146808E+02   0.536249E-01  -0.730956E+02
   462   0.205203E+04   0.145054E+02   0.538146E-01  -0.733910E+02
   463   0.206270E+04   0.143306E+02   0.540085E-01  -0.736639E+02
   464   0.207338E+04   0.141556E+02   0.541997E-01  -0.738860E+02
   465   0.208407E+04   0.139805E+02   0.543951E-01  -0.740854E+02
   466   0.209485E+04   0.138046E+02   0.545876E-01  -0.742411E+02
   467   0.210572E+04   0.136292E+02   0.547844E-01  -0.743670E+02
   468   0.211652E+04   0.134545E+02   0.549783E-01  -0.744562E+02
   469   0.212734E+04   0.132789E+02   0.551764E-01  -0.745156E+02
   470   0.213824E+04   0.131046E+02   0.553715E-01  -0.745381E+02
   471   0.214895E+04   0.129315E+02   0.555708E-01  -0.745239E+02
   472   0.215980E+04   0.127584E+02   0.557671E-01  -0.744798E+02
   473   0.217060E+04   0.125859E+02   0.559676E-01  -0.743988E+02
   474   0.218141E+04   0.124147E+02   0.561649E-01  -0.742880E+02
   475   0.219222E+04   0.122434E+02   0.563664E-01  -0.741403E+02
   476   0.220291E+04   0.120741E+02   0.565647E-01  -0.739578E+02
   477   0.221354E+04   0.119054E+02   0.567673E-01  -0.737496E+02
   478   0.222417E+04   0.117373E+02   0.569665E-01  -0.734981E+02
   479   0.223475E+04   0.115712E+02   0.571699E-01  -0.732265E+02
   480   0.224526E+04   0.114065E+02   0.573699E-01  -0.729166E+02
   481   0.225571E+04   0.112431E+02   0.575740E-01  -0.725718E+02
   482   0.226617E+04   0.110817E+02   0.577748E-01  -0.721977E+02
   483   0.227642E+04   0.109217E+02   0.579796E-01  -0.717964E+02
   484   0.228654E+04   0.107637E+02   0.581810E-01  -0.713623E+02
   485   0.229674E+04   0.106070E+02   0.583864E-01  -0.708968E+02
   486   0.230680E+04   0.104531E+02   0.585883E-01  -0.704019E+02
   487   0.231673E+04   0.103012E+02   0.587942E-01  -0.698778E+02
   488   0.232652E+04   0.101507E+02   0.589964E-01  -0.693236E+02
   489   0.233625E+04   0.100029E+02   0.592028E-01  -0.687407E+02
   490   0.234591E+04   0.985791E+01   0.594053E-01  -0.681285E+02
   491   0.235529E+04   0.971495E+01   0.596119E-01  -0.674897E+02
   492   0.236468E+04   0.957475E+01   0.598147E-01  -0.668236E+02
   493   0.237393E+04   0.943591E+01   0.600215E-01  -0.661288E+02
   494   0.238305E+04   0.930124E+01   0.602243E-01  -0.654088E+02
   495   0.239196E+04   0.916863E+01   0.604311E-01  -0.646623E+02
   496   0.240073E+04   0.903949E+01   0.606339E-01  -0.638905E+02
   497   0.240936E+04   0.891313E+01   0.608407E-01  -0.630927E+02
   498   0.241785E+04   0.878884E+01   0.610434E-01  -0.622719E+02
   499   0.242627E+04   0.866873E+01   0.612501E-01  -0.614251E+02
   500   0.243449E+04   0.855070E+01   0.614525E-01  -0.605566E+02
   501   0.244243E+04   0.843684E+01   0.616589E-01  -0.596649E+02
   502   0.245036E+04   0.832647E+01   0.618609E-01  -0.587501E+02
   503   0.245802E+04   0.821890E+01   0.620669E-01  -0.578143E+02
   504   0.246546E+04   0.811483E+01   0.622685E-01  -0.568561E+02
   505   0.247291E+04   0.801496E+01   0.624741E-01  -0.558791E+02
   506   0.248000E+04   0.791875E+01   0.626751E-01  -0.548812E+02
   507   0.248702E+04   0.782591E+01   0.628800E-01  -0.538645E+02
   508   0.249376E+04   0.773744E+01   0.630803E-01  -0.528283E+02
   509   0.250036E+04   0.765243E+01   0.632845E-01  -0.517754E+02
   510   0.250667E+04   0.757152E+01   0.634840E-01  -0.507053E+02
   511   0.251291E+04   0.749442E+01   0.636874E-01  -0.496179E+02
   512   0.251887E+04   0.742158E+01   0.638859E-01  -0.485146E+02
   513   0.252468E+04   0.735278E+01   0.640884E-01  -0.473969E+02
   514   0.253028E+04   0.728832E+01   0.642859E-01  -0.462647E+02
   515   0.253567E+04   0.722811E+01   0.644873E-01  -0.451182E+02
   516   0.254084E+04   0.717225E+01   0.646837E-01  -0.439588E+02
   517   0.254572E+04   0.712087E+01   0.648839E-01  -0.427871E+02
   518   0.255046E+04   0.707384E+01   0.650790E-01  -0.416039E+02
   519   0.255505E+04   0.703138E+01   0.652780E-01  -0.404085E+02
   520   0.255936E+04   0.699342E+01   0.654718E-01  -0.392038E+02
   521   0.256338E+04   0.696003E+01   0.656693E-01  -0.379897E+02
   522   0.256719E+04   0.693143E+01   0.658616E-01  -0.367664E+02
   523   0.257085E+04   0.690749E+01   0.660577E-01  -0.355352E+02
   524   0.257429E+04   0.688821E+01   0.662484E-01  -0.342968E+02
   525   0.257737E+04   0.687373E+01   0.664429E-01  -0.330506E+02
   526   0.258031E+04   0.686406E+01   0.666320E-01  -0.317987E+02
   527   0.258317E+04   0.685921E+01   0.668247E-01  -0.305418E+02
   528   0.258566E+04   0.685917E+01   0.670120E-01  -0.292813E+02
   529   0.258795E+04   0.686423E+01   0.672030E-01  -0.280159E+02
   530   0.258994E+04   0.687419E+01   0.673884E-01  -0.267491E+02
   531   0.259192E+04   0.688898E+01   0.675775E-01  -0.254781E+02
   532   0.259347E+04   0.690888E+01   0.677609E-01  -0.242065E+02
   533   0.259481E+04   0.693375E+01   0.679480E-01  -0.229342E+02
   534   0.259592E+04   0.696368E+01   0.681294E-01  -0.216619E+02
   535   0.259681E+04   0.699873E+01   0.683144E-01  -0.203905E+02
   536   0.259749E+04   0.703877E+01   0.684936E-01  -0.191198E+02
   537   0.259801E+04   0.708387E+01   0.686764E-01  -0.178514E+02
   538   0.259817E+04   0.713418E+01   0.688534E-01  -0.165860E+02
   539   0.259818E+04   0.718941E+01   0.690340E-01  -0.153242E+02
   540   0.259797E+04   0.725000E+01   0.692086E-01  -0.140668E+02
   541   0.259747E+04   0.731551E+01   0.693869E-01  -0.128138E+02
   542   0.259682E+04   0.738618E+01   0.695591E-01  -0.115674E+02
   543   0.259587E+04   0.746207E+01   0.697349E-01  -0.103271E+02
   544   0.259477E+04   0.754304E+01   0.699047E-01  -0.909379E+01
   545   0.259338E+04   0.762909E+01   0.700780E-01  -0.786814E+01
   546   0.259184E+04   0.772003E+01   0.702452E-01  -0.665111E+01
   547   0.259001E+04   0.781606E+01   0.704160E-01  -0.544301E+01
   548   0.258802E+04   0.791719E+01   0.705805E-01  -0.424482E+01
   549   0.258581E+04   0.802340E+01   0.707487E-01  -0.305721E+01
   550   0.258337E+04   0.813472E+01   0.709105E-01  -0.188075E+01
   551   0.258078E+04   0.825114E+01   0.710760E-01  -0.716034E+00
   552   0.257790E+04   0.837267E+01   0.712350E-01   0.435879E+00
   553   0.257486E+04   0.849791E+01   0.713978E-01   0.157472E+01
   554   0.257160E+04   0.862964E+01   0.715540E-01   0.269967E+01
   555   0.256812E+04   0.876579E+01   0.717139E-01   0.380990E+01
   556   0.256441E+04   0.890704E+01   0.718673E-01   0.490523E+01
   557   0.256055E+04   0.905271E+01   0.720244E-01   0.598394E+01
   558   0.255647E+04   0.920417E+01   0.721749E-01   0.704652E+01
   559   0.255216E+04   0.935937E+01   0.723290E-01   0.809223E+01
   560   0.254777E+04   0.951900E+01   0.724766E-01   0.911962E+01
   561   0.254302E+04   0.968373E+01   0.726278E-01   0.101287E+02
   562   0.253826E+04   0.985357E+01   0.727723E-01   0.111186E+02
   563   0.253327E+04   0.100271E+02   0.729205E-01   0.120907E+02
   564   0.252812E+04   0.102065E+02   0.730621E-01   0.130402E+02
   565   0.252276E+04   0.103889E+02   0.732073E-01   0.139703E+02
   566   0.251724E+04   0.105765E+02   0.733457E-01   0.148785E+02
   567   0.251157E+04   0.107677E+02   0.734879E-01   0.157651E+02
   568   0.250574E+04   0.109641E+02   0.736233E-01   0.166289E+02
   569   0.249970E+04   0.111649E+02   0.737624E-01   0.174718E+02
   570   0.249357E+04   0.113695E+02   0.738947E-01   0.182890E+02
   571   0.248721E+04   0.115784E+02   0.740308E-01   0.190825E+02
   572   0.248071E+04   0.117911E+02   0.741599E-01   0.198522E+02
   573   0.247412E+04   0.120075E+02   0.742929E-01   0.205961E+02
   574   0.246738E+04   0.122284E+02   0.744189E-01   0.213153E+02
   575   0.246049E+04   0.124523E+02   0.745488E-01   0.220080E+02
   576   0.245351E+04   0.126806E+02   0.746717E-01   0.226753E+02
   577   0.244631E+04   0.129127E+02   0.747985E-01   0.233159E+02
   578   0.243903E+04   0.131478E+02   0.749183E-01   0.239290E+02
   579   0.243167E+04   0.133873E+02   0.750421E-01   0.245152E+02
   580   0.242422E+04   0.136299E+02   0.751587E-01   0.250725E+02
   581   0.241648E+04   0.138755E+02   0.752794E-01   0.256029E+02
   582   0.240874E+04   0.141248E+02   0.753929E-01   0.261043E+02
   583   0.240090E+04   0.143772E+02   0.755105E-01   0.265759E+02
   584   0.239299E+04   0.146326E+02   0.756210E-01   0.270191E+02
   585   0.238499E+04   0.148911E+02   0.757355E-01   0.274324E+02
   586   0.237684E+04   0.151519E+02   0.758429E-01   0.278159E+02
   587   0.236868E+04   0.154164E+02   0.759545E-01   0.281695E+02
   588   0.236037E+04   0.156833E+02   0.760588E-01   0.284918E+02
   589   0.235197E+04   0.159533E+02   0.761674E-01   0.287841E+02
   590   0.234350E+04   0.162249E+02   0.762687E-01   0.290457E+02
   591   0.233501E+04   0.165002E+02   0.763743E-01   0.292759E+02
   592   0.232643E+04   0.167765E+02   0.764727E-01   0.294739E+02
   593   0.231778E+04   0.170565E+02   0.765753E-01   0.296418E+02
   594   0.230898E+04   0.173382E+02   0.766708E-01   0.297768E+02
   595   0.230017E+04   0.176208E+02   0.767706E-01   0.298810E+02
   596   0.229141E+04   0.179072E+02   0.768631E-01   0.299522E+02
   597   0.228257E+04   0.181931E+02   0.769601E-01   0.299918E+02
   598   0.227385E+04   0.184821E+02   0.770498E-01   0.299990E+02
   599   0.226498E+04   0.187728E+02   0.771441E-01   0.299746E+02
   600   0.225604E+04   0.190651E+02   0.772310E-01   0.299171E+02
   601   0.224708E+04   0.193590E+02   0.773225E-01   0.298272E+02
   602   0.223811E+04   0.196533E+02   0.774067E-01   0.297042E+02
   603   0.222906E+04   0.199498E+02   0.774956E-01   0.295501E+02
   604   0.222014E+04   0.202466E+02   0.775771E-01   0.293628E+02
   605   0.221114E+04   0.205444E+02   0.776634E-01   0.291430E+02
   606   0.220219E+04   0.208431E+02   0.777424E-01   0.288907E+02
   607   0.219304E+04   0.211427E+02   0.778262E-01   0.286059E+02
   608   0.218407E+04   0.214432E+02   0.779026E-01   0.282885E+02
   609   0.217517E+04   0.217433E+02   0.779840E-01   0.279385E+02
   610   0.216619E+04   0.220436E+02   0.780580E-01   0.275560E+02
   611   0.215727E+04   0.223447E+02   0.781370E-01   0.271415E+02
   612   0.214841E+04   0.226468E+02   0.782086E-01   0.266957E+02
   613   0.213947E+04   0.229464E+02   0.782854E-01   0.262166E+02
   614   0.213067E+04   0.232475E+02   0.783547E-01   0.257056E+02
   615   0.212185E+04   0.235474E+02   0.784293E-01   0.251632E+02
   616   0.211310E+04   0.238482E+02   0.784965E-01   0.245895E+02
   617   0.210448E+04   0.241484E+02   0.785689E-01   0.239845E+02
   618   0.209586E+04   0.244482E+02   0.786340E-01   0.233475E+02
   619   0.208722E+04   0.247480E+02   0.787044E-01   0.226811E+02
   620   0.207879E+04   0.250454E+02   0.787675E-01   0.219834E+02
   621   0.207029E+04   0.253428E+02   0.788360E-01   0.212550E+02
   622   0.206192E+04   0.256390E+02   0.788972E-01   0.204959E+02
   623   0.205367E+04   0.259333E+02   0.789639E-01   0.197081E+02
   624   0.204543E+04   0.262264E+02   0.790233E-01   0.188902E+02
   625   0.203725E+04   0.265182E+02   0.790883E-01   0.180424E+02
   626   0.202921E+04   0.268088E+02   0.791460E-01   0.171658E+02
   627   0.202130E+04   0.270974E+02   0.792093E-01   0.162605E+02
   628   0.201345E+04   0.273841E+02   0.792654E-01   0.153265E+02
   629   0.200574E+04   0.276688E+02   0.793273E-01   0.143645E+02
   630   0.199803E+04   0.279516E+02   0.793819E-01   0.133738E+02
   631   0.199045E+04   0.282323E+02   0.794423E-01   0.123570E+02
   632   0.198307E+04   0.285105E+02   0.794956E-01   0.113123E+02
   633   0.197570E+04   0.287873E+02   0.795547E-01   0.102415E+02
   634   0.196853E+04   0.290601E+02   0.796067E-01   0.914465E+01
   635   0.196149E+04   0.293316E+02   0.796647E-01   0.802215E+01
   636   0.195445E+04   0.296011E+02   0.797154E-01   0.687458E+01
   637   0.194762E+04   0.298659E+02   0.797724E-01   0.570141E+01
   638   0.194093E+04   0.301294E+02   0.798221E-01   0.450457E+01
   639   0.193437E+04   0.303888E+02   0.798781E-01   0.328322E+01
   640   0.192795E+04   0.306462E+02   0.799268E-01   0.203878E+01
   641   0.192167E+04   0.309002E+02   0.799820E-01   0.771238E+00
   642   0.191546E+04   0.311501E+02   0.800299E-01  -0.518703E+00
   643   0.190946E+04   0.313980E+02   0.800843E-01  -0.183060E+01
   644   0.190366E+04   0.316405E+02   0.801316E-01  -0.316384E+01
   645   0.189793E+04   0.318802E+02   0.801854E-01  -0.451815E+01
   646   0.189234E+04   0.321166E+02   0.802320E-01  -0.589292E+01
   647   0.188702E+04   0.323488E+02   0.802853E-01  -0.728801E+01
   648   0.188171E+04   0.325776E+02   0.803315E-01  -0.870167E+01
   649   0.187668E+04   0.328017E+02   0.803844E-01  -0.101346E+02
   650   0.187178E+04   0.330217E+02   0.804302E-01  -0.115853E+02
   651   0.186702E+04   0.332389E+02   0.804829E-01  -0.130539E+02
   652   0.186241E+04   0.334513E+02   0.805284E-01  -0.145397E+02
   653   0.185807E+04   0.336582E+02   0.805809E-01  -0.160413E+02
   654   0.185380E+04   0.338617E+02   0.806264E-01  -0.175579E+02
   655   0.184968E+04   0.340610E+02   0.806788E-01  -0.190902E+02
   656   0.184583E+04   0.342555E+02   0.807242E-01  -0.206367E+02
   657   0.184212E+04   0.344452E+02   0.807768E-01  -0.221962E+02
   658   0.183849E+04   0.346307E+02   0.808222E-01  -0.237691E+02
   659   0.183520E+04   0.348113E+02   0.808750E-01  -0.253542E+02
   660   0.183206E+04   0.349865E+02   0.809206E-01  -0.269507E+02
   661   0.182906E+04   0.351567E+02   0.809737E-01  -0.285573E+02
   662   0.182627E+04   0.353228E+02   0.810197E-01  -0.301751E+02
   663   0.182362E+04   0.354839E+02   0.810731E-01  -0.318029E+02
   664   0.182118E+04   0.356388E+02   0.811195E-01  -0.334386E+02
   665   0.181889E+04   0.357889E+02   0.811735E-01  -0.350827E+02
   666   0.181681E+04   0.359340E+02   0.812204E-01  -0.367340E+02
   667   0.181494E+04   0.360735E+02   0.812749E-01  -0.383923E+02
   668   0.181316E+04   0.362081E+02   0.813225E-01  -0.400569E+02
   669   0.181171E+04   0.363371E+02   0.813778E-01  -0.417265E+02
   670   0.181034E+04   0.364605E+02   0.814261E-01  -0.433997E+02
   671   0.180926E+04   0.365796E+02   0.814822E-01  -0.450778E+02
   672   0.180825E+04   0.366918E+02   0.815313E-01  -0.467593E+02
   673   0.180752E+04   0.367996E+02   0.815884E-01  -0.484423E+02
   674   0.180694E+04   0.369012E+02   0.816384E-01  -0.501273E+02
   675   0.180657E+04   0.369971E+02   0.816965E-01  -0.518136E+02
   676   0.180635E+04   0.370874E+02   0.817475E-01  -0.534992E+02
   677   0.180635E+04   0.371720E+02   0.818067E-01  -0.551847E+02
   678   0.180655E+04   0.372503E+02   0.818589E-01  -0.568695E+02
   679   0.180691E+04   0.373236E+02   0.819192E-01  -0.585520E+02
   680   0.180754E+04   0.373912E+02   0.819726E-01  -0.602323E+02
   681   0.180832E+04   0.374524E+02   0.820343E-01  -0.619083E+02
   682   0.180925E+04   0.375074E+02   0.820889E-01  -0.635814E+02
   683   0.181046E+04   0.375579E+02   0.821520E-01  -0.652507E+02
   684   0.181176E+04   0.376008E+02   0.822080E-01  -0.669142E+02
   685   0.181320E+04   0.376387E+02   0.822725E-01  -0.685720E+02
   686   0.181486E+04   0.376701E+02   0.823300E-01  -0.702161E+02
   687   0.181679E+04   0.376966E+02   0.823960E-01  -0.718562E+02
   688   0.181881E+04   0.377160E+02   0.824550E-01  -0.734904E+02
   689   0.182105E+04   0.377297E+02   0.825226E-01  -0.751120E+02
   690   0.182344E+04   0.377383E+02   0.825832E-01  -0.767276E+02
   691   0.182604E+04   0.377392E+02   0.826524E-01  -0.783305E+02
   692   0.182878E+04   0.377357E+02   0.827147E-01  -0.799207E+02
   693   0.183175E+04   0.377258E+02   0.827857E-01  -0.815047E+02
   694   0.183480E+04   0.377095E+02   0.828496E-01  -0.830693E+02
   695   0.183813E+04   0.376888E+02   0.829224E-01  -0.846211E+02
   696   0.184161E+04   0.376611E+02   0.829882E-01  -0.861731E+02
   697   0.184524E+04   0.376276E+02   0.830628E-01  -0.876990E+02
   698   0.184902E+04   0.375877E+02   0.831304E-01  -0.892120E+02
   699   0.185295E+04   0.375427E+02   0.832069E-01  -0.907054E+02
   700   0.185709E+04   0.374913E+02   0.832763E-01  -0.921857E+02
   701   0.186139E+04   0.374341E+02   0.833548E-01  -0.936529E+02
   702   0.186583E+04   0.373718E+02   0.834261E-01  -0.950938E+02
   703   0.187043E+04   0.373032E+02   0.835066E-01  -0.965345E+02
   704   0.187517E+04   0.372294E+02   0.835799E-01  -0.979422E+02
   705   0.188000E+04   0.371492E+02   0.836624E-01  -0.993299E+02
   706   0.188505E+04   0.370640E+02   0.837376E-01  -0.100704E+03
   707   0.189017E+04   0.369729E+02   0.838222E-01  -0.102058E+03
   708   0.189558E+04   0.368768E+02   0.838994E-01  -0.103379E+03
   709   0.190101E+04   0.367749E+02   0.839860E-01  -0.104693E+03
   710   0.190664E+04   0.366673E+02   0.840654E-01  -0.105979E+03
   711   0.191237E+04   0.365545E+02   0.841541E-01  -0.107239E+03
   712   0.191824E+04   0.364367E+02   0.842355E-01  -0.108485E+03
   713   0.192432E+04   0.363131E+02   0.843263E-01  -0.109697E+03
   714   0.193035E+04   0.361851E+02   0.844097E-01  -0.110889E+03
   715   0.193660E+04   0.360514E+02   0.845026E-01  -0.112059E+03
   716   0.194299E+04   0.359125E+02   0.845882E-01  -0.113203E+03
   717   0.194947E+04   0.357692E+02   0.846832E-01  -0.114313E+03
   718   0.195603E+04   0.356209E+02   0.847708E-01  -0.115408E+03
   719   0.196273E+04   0.354661E+02   0.848680E-01  -0.116463E+03
   720   0.196945E+04   0.353076E+02   0.849577E-01  -0.117503E+03
   721   0.197645E+04   0.351452E+02   0.850570E-01  -0.118502E+03
   722   0.198339E+04   0.349772E+02   0.851488E-01  -0.119474E+03
   723   0.199048E+04   0.348054E+02   0.852502E-01  -0.120425E+03
   724   0.199766E+04   0.346285E+02   0.853440E-01  -0.121348E+03
   725   0.200491E+04   0.344479E+02   0.854476E-01  -0.122237E+03
   726   0.201230E+04   0.342641E+02   0.855434E-01  -0.123091E+03
   727   0.201972E+04   0.340746E+02   0.856490E-01  -0.123923E+03
   728   0.202721E+04   0.338801E+02   0.857469E-01  -0.124722E+03
   729   0.203477E+04   0.336825E+02   0.858546E-01  -0.125492E+03
   730   0.204236E+04   0.334811E+02   0.859545E-01  -0.126227E+03
   731   0.205015E+04   0.332747E+02   0.860642E-01  -0.126928E+03
   732   0.205789E+04   0.330665E+02   0.861660E-01  -0.127594E+03
   733   0.206577E+04   0.328532E+02   0.862777E-01  -0.128238E+03
   734   0.207366E+04   0.326369E+02   0.863815E-01  -0.128835E+03
   735   0.208163E+04   0.324161E+02   0.864951E-01  -0.129416E+03
   736   0.208955E+04   0.321923E+02   0.866007E-01  -0.129949E+03
   737   0.209761E+04   0.319661E+02   0.867163E-01  -0.130461E+03
   738   0.210562E+04   0.317368E+02   0.868238E-01  -0.130924E+03
   739   0.211371E+04   0.315038E+02   0.869412E-01  -0.131359E+03
   740   0.212180E+04   0.312677E+02   0.870505E-01  -0.131765E+03
   741   0.212997E+04   0.310279E+02   0.871697E-01  -0.132136E+03
   742   0.213815E+04   0.307877E+02   0.872807E-01  -0.132465E+03
   743   0.214635E+04   0.305450E+02   0.874016E-01  -0.132766E+03
   744   0.215461E+04   0.302987E+02   0.875143E-01  -0.133025E+03
   745   0.216283E+04   0.300500E+02   0.876370E-01  -0.133262E+03
   746   0.217098E+04   0.297995E+02   0.877512E-01  -0.133444E+03
   747   0.217915E+04   0.295460E+02   0.878755E-01  -0.133604E+03
   748   0.218739E+04   0.292914E+02   0.879913E-01  -0.133729E+03
   749   0.219564E+04   0.290332E+02   0.881172E-01  -0.133824E+03
   750   0.220384E+04   0.287745E+02   0.882344E-01  -0.133878E+03
   751   0.221204E+04   0.285135E+02   0.883618E-01  -0.133896E+03
   752   0.222025E+04   0.282520E+02   0.884804E-01  -0.133872E+03
   753   0.222841E+04   0.279876E+02   0.886091E-01  -0.133819E+03
   754   0.223650E+04   0.277227E+02   0.887291E-01  -0.133725E+03
   755   0.224467E+04   0.274562E+02   0.888591E-01  -0.133601E+03
   756   0.225265E+04   0.271887E+02   0.889803E-01  -0.133442E+03
   757   0.226076E+04   0.269209E+02   0.891116E-01  -0.133241E+03
   758   0.226869E+04   0.266514E+02   0.892339E-01  -0.133004E+03
   759   0.227669E+04   0.263810E+02   0.893663E-01  -0.132738E+03
   760   0.228456E+04   0.261102E+02   0.894897E-01  -0.132436E+03
   761   0.229236E+04   0.258391E+02   0.896231E-01  -0.132099E+03
   762   0.230024E+04   0.255678E+02   0.897474E-01  -0.131726E+03
   763   0.230793E+04   0.252968E+02   0.898818E-01  -0.131318E+03
   764   0.231561E+04   0.250249E+02   0.900070E-01  -0.130880E+03
   765   0.232317E+04   0.247528E+02   0.901423E-01  -0.130400E+03
   766   0.233074E+04   0.244817E+02   0.902682E-01  -0.129891E+03
   767   0.233817E+04   0.242110E+02   0.904042E-01  -0.129347E+03
   768   0.234554E+04   0.239401E+02   0.905308E-01  -0.128760E+03
   769   0.235284E+04   0.236690E+02   0.906674E-01  -0.128150E+03
   770   0.236002E+04   0.233997E+02   0.907946E-01  -0.127505E+03
   771   0.236713E+04   0.231308E+02   0.909317E-01  -0.126823E+03
   772   0.237411E+04   0.228631E+02   0.910593E-01  -0.126100E+03
   773   0.238102E+04   0.225964E+02   0.911969E-01  -0.125354E+03
   774   0.238780E+04   0.223310E+02   0.913248E-01  -0.124579E+03
   775   0.239458E+04   0.220666E+02   0.914628E-01  -0.123768E+03
   776   0.240110E+04   0.218041E+02   0.915909E-01  -0.122927E+03
   777   0.240754E+04   0.215428E+02   0.917290E-01  -0.122051E+03
   778   0.241405E+04   0.212833E+02   0.918573E-01  -0.121139E+03
   779   0.242024E+04   0.210256E+02   0.919955E-01  -0.120204E+03
   780   0.242635E+04   0.207685E+02   0.921237E-01  -0.119234E+03
   781   0.243239E+04   0.205152E+02   0.922620E-01  -0.118241E+03
   782   0.243824E+04   0.202632E+02   0.923900E-01  -0.117224E+03
   783   0.244401E+04   0.200136E+02   0.925281E-01  -0.116166E+03
   784   0.244965E+04   0.197666E+02   0.926560E-01  -0.115079E+03
   785   0.245509E+04   0.195215E+02   0.927938E-01  -0.113968E+03
