# row  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR
#     degrees   pixel  pixel   pixel  pixel                             

    1   INDEF 1087.24  INDEF  778.56  INDEF    -506.    INDEF      INDEF
  352    0.74 1083.71   0.62  770.99   0.65   -0.938   0.0312     0.0332
  353    0.74 1083.71   0.63  770.99   0.66   -0.912    0.032     0.0351
  354    0.83 1083.71   0.71  770.99   0.74   -0.871   0.0302     0.0347
  355    0.83 1084.64   0.69  774.29   0.73   -0.933   0.0297     0.0318
  356    0.81 1084.64   0.71  774.29   0.74   -0.934   0.0294     0.0315
  357    0.81 1085.22   0.72  775.25   0.76   -0.938   0.0302     0.0322
  358    0.80 1085.22   0.72  775.25   0.76   -0.916   0.0296     0.0323
  359    0.81 1085.22   0.70  775.25   0.74    -0.87   0.0313      0.036
  360    0.81 1085.22   0.70  775.25   0.74   -0.823   0.0295     0.0359
  361    0.79 1085.02   0.68  774.93   0.72   -0.831     0.03     0.0361
  362    0.80 1083.53   0.67  774.73   0.71   -0.832   0.0308      0.037
  363    0.82 1083.53   0.69  774.73   0.73   -0.792   0.0339     0.0428
  364    0.84 1083.32   0.71  774.38   0.75   -0.804   0.0336     0.0419
  365    0.83 1083.26   0.70  774.28   0.74   -0.796    0.035      0.044
  366    0.82 1083.26   0.76  774.28   0.81    -0.77   0.0327     0.0425
  367    0.84 1083.26   0.78  774.28   0.84   -0.763   0.0353     0.0463
  368    0.86 1083.26   0.80  774.28   0.86   -0.777   0.0366     0.0471
  369    1.06 1083.26   1.00  774.28   1.06    -0.78   0.0403     0.0517
  370    1.95 1084.59   1.81  777.12   1.98    -0.66   0.0958      0.145
  371    1.61 1084.59   1.50  777.12   1.63     -0.6   0.0936      0.156
  372    1.30 1084.59   1.21  777.12   1.32   -0.572   0.0935      0.163
  373    1.09 1084.59   1.02  777.12   1.11   -0.619   0.0868       0.14
  374    1.10 1084.59   1.03  777.12   1.12   -0.574    0.082      0.143
  375    1.43 1084.59   1.35  777.12   1.46   -0.607    0.092      0.152
  376    1.31 1084.59   1.24  777.12   1.33   -0.543   0.0905      0.167
  377    1.24 1084.59   1.18  777.12   1.27    -0.53   0.0839      0.158
  378    1.12 1084.59   1.06  777.12   1.15   -0.572   0.0754      0.132
  379    1.09 1084.70   1.04  777.34   1.12   -0.581   0.0681      0.117
  380    1.41 1081.64   1.35  772.06   1.46    -0.55   0.0765      0.139
  381    1.24 1081.77   1.03  772.42   1.09    -0.65   0.0405     0.0624
  382    1.21 1081.95   1.00  775.78   1.07   -0.699   0.0323     0.0462
  383    1.13 1080.14   0.94  774.98   1.00   -0.736   0.0303     0.0411
  384    1.47 1080.31   1.17  776.11   1.26   -0.746   0.0298     0.0399
  385    1.56 1078.93   1.25  776.71   1.34   -0.781   0.0306     0.0392
  386    2.75 1078.26   2.17  783.07   2.39   -0.949   0.0484      0.051
  387    2.71 1078.26   2.15  783.07   2.36   -0.851   0.0438     0.0514
  388    2.44 1078.26   1.94  783.07   2.13   -0.839   0.0409     0.0488
  389    2.50 1079.83   1.99  784.77   2.18   -0.827   0.0406     0.0491
  390    2.31 1079.56   1.96  784.83   2.16    -0.87   0.0418     0.0481
  391    2.58 1080.56   2.12  784.56   2.32   -0.884   0.0442       0.05
  392    2.48 1075.97   2.05  781.33   2.24    -0.83    0.041     0.0494
  393    2.11 1078.44   1.74  783.01   1.91   -0.865   0.0379     0.0438
  394    1.69 1077.32   1.45  783.29   1.60   -0.843   0.0331     0.0393
  395    1.98 1079.10   1.70  782.81   1.87   -0.824   0.0356     0.0433
  396    1.62 1077.19   1.39  783.33   1.53   -0.802   0.0316     0.0394
  397    1.40 1077.51   1.21  783.24   1.33   -0.832   0.0296     0.0356
  398    2.00 1080.08   1.83  781.71   2.02   -0.811   0.0368     0.0454
  399    1.55 1078.89   1.42  782.04   1.57   -0.829   0.0319     0.0385
  400    2.05 1078.89   1.89  782.04   2.08   -0.765   0.0361     0.0472
  401    1.58 1078.87   1.34  781.98   1.45   -0.721   0.0286     0.0397
  402    2.00 1078.87   1.87  781.98   2.04   -0.775    0.036     0.0465
  403    1.72 1078.87   1.61  781.98   1.76     -0.8   0.0334     0.0418
  404    1.68 1078.87   1.58  781.98   1.73   -0.756   0.0317     0.0419
  405    1.77 1078.16   1.67  780.08   1.83   -0.752   0.0324      0.043
  406    1.71 1078.16   1.62  780.08   1.76   -0.761   0.0317     0.0417
  407    1.67 1078.16   1.59  780.08   1.73   -0.717   0.0308      0.043
  408    1.49 1078.16   1.42  780.08   1.55    -0.73    0.029     0.0397
  409    1.38 1078.16   1.32  780.08   1.44   -0.723   0.0274     0.0378
  410    1.38 1078.16   1.32  780.08   1.44   -0.681   0.0263     0.0386
  411    1.33 1078.16   1.28  780.08   1.39    -0.65   0.0253     0.0389
  412    1.47 1076.84   1.53  776.66   1.69   -0.762     0.03     0.0394
  413    1.28 1078.46   1.34  780.94   1.48    -0.65   0.0265     0.0407
  414    1.29 1077.29   1.35  777.86   1.49   -0.679   0.0263     0.0387
  415    1.41 1078.07   1.49  775.40   1.64   -0.721   0.0285     0.0395
  416    1.48 1078.87   1.56  775.09   1.72   -0.673   0.0284     0.0421
  417    1.23 1076.52   1.31  775.98   1.44   -0.637    0.025     0.0392
  418    1.17 1076.52   1.25  775.98   1.37   -0.639   0.0245     0.0384
  419    1.07 1076.52   1.14  775.98   1.25   -0.637   0.0236     0.0371
  420    1.22 1077.39   1.30  775.65   1.43   -0.587   0.0242     0.0413
  421    1.27 1079.10   1.27  774.99   1.38   -0.558   0.0234      0.042
  422    1.20 1079.44   1.20  775.46   1.30   -0.614   0.0231     0.0376
  423    1.17 1079.44   1.18  775.46   1.27   -0.604   0.0229     0.0379
  424    1.22 1079.44   1.37  775.46   1.49   -0.649   0.0255     0.0392
  425    0.98 1079.44   1.09  775.46   1.20   -0.611   0.0229     0.0375
  426    1.08 1079.44   1.20  775.46   1.32     -0.6   0.0233     0.0388
  427    1.05 1079.44   1.17  775.46   1.28   -0.584    0.023     0.0394
  428    1.06 1079.44   1.19  775.46   1.30   -0.562   0.0231     0.0411
  429    1.09 1077.69   1.12  773.04   1.21   -0.581   0.0272     0.0468
  430    1.22 1080.73   1.26  771.63   1.36   -0.525   0.0269     0.0512
  431    1.29 1080.73   1.34  771.63   1.43   -0.519   0.0255      0.049
  432    1.16 1079.20   1.27  770.22   1.38   -0.574   0.0235     0.0409
  433    1.18 1080.51   1.30  772.87   1.40   -0.505   0.0244     0.0483
  434    1.07 1078.95   1.18  769.69   1.27   -0.559   0.0225     0.0403
  435    1.27 1080.55   1.40  771.72   1.50   -0.465   0.0292     0.0628
  436    1.48 1079.37   1.53  772.34   1.63   -0.368   0.0588       0.16
  437    1.77 1080.05   1.95  772.90   2.09   -0.326    0.085      0.261
  438    1.22 1079.89   1.35  772.54   1.44   -0.466   0.0074     0.0158
  439    1.61 1078.76   1.78  770.56   1.90   -0.341   0.0845      0.248
  440    1.45 1078.76   1.60  770.56   1.73   -0.352   0.0346     0.0982
  441    1.15 1078.76   1.27  770.56   1.36   -0.439   0.0071      0.016
