# row  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR
#     degrees   pixel  pixel   pixel  pixel                             

    1   INDEF 1087.24  INDEF  778.56  INDEF    -506.    INDEF      INDEF
   84    1.14 1086.84   0.07  778.09   0.08    -28.2    0.367      0.013
   85    1.11 1086.75   0.07  778.18   0.07    -27.5    0.357      0.013
   86    1.09 1086.63   0.08  778.05   0.08    -25.7    0.353     0.0137
   87    1.18 1086.68   0.08  778.08   0.09    -25.6    0.348     0.0136
   88    1.20 1086.57   0.09  777.94   0.09    -24.9    0.354     0.0142
   89    1.16 1086.61   0.09  777.96   0.09    -23.7    0.328     0.0138
   90    1.16 1086.65   0.08  778.11   0.08    -23.1    0.322      0.014
   91    1.13 1086.84   0.08  778.15   0.08    -22.5    0.289     0.0128
   92    1.07 1086.86   0.08  778.05   0.08    -21.9    0.299     0.0136
   93    1.03 1086.85   0.08  778.09   0.08     -21.    0.283     0.0135
   94    0.91 1086.80   0.08  778.23   0.08    -20.4    0.275     0.0135
   95    0.94 1086.93   0.08  778.17   0.08    -20.3    0.281     0.0138
   96    0.97 1087.00   0.08  778.11   0.08    -19.7    0.278     0.0141
   97    0.97 1087.00   0.08  778.22   0.08     -19.    0.275     0.0145
   98    0.96 1086.99   0.08  778.07   0.08    -18.8    0.274     0.0146
   99    0.96 1086.84   0.08  778.14   0.09    -18.1    0.287     0.0158
  100    0.98 1086.78   0.09  778.03   0.09    -17.5    0.278     0.0159
  101    1.01 1086.89   0.08  778.22   0.09    -17.4    0.249     0.0143
  102    1.12 1086.95   0.09  778.19   0.09    -16.9    0.233     0.0137
  103    1.12 1087.08   0.09  778.10   0.10    -16.5    0.245     0.0149
  104    1.06 1086.80   0.09  777.96   0.10    -16.3    0.241     0.0148
  105    1.06 1086.89   0.10  778.28   0.10    -16.2    0.223     0.0138
  106    1.10 1086.83   0.10  778.30   0.11    -15.5     0.22     0.0142
  107    1.41 1086.77   0.12  778.22   0.12    -15.1    0.229     0.0152
  108    1.46 1086.72   0.13  778.14   0.13    -15.1    0.234     0.0155
  109    1.46 1086.69   0.13  778.18   0.13    -15.1    0.222     0.0148
  110    1.33 1086.69   0.12  778.21   0.12    -14.6     0.21     0.0144
  111    1.16 1086.66   0.11  778.10   0.11    -14.5     0.21     0.0145
  112    1.05 1086.72   0.11  778.21   0.11    -14.3      0.2      0.014
  113    0.99 1086.74   0.11  778.06   0.11    -13.9    0.193     0.0139
  114    0.99 1086.87   0.11  778.03   0.11    -13.7    0.195     0.0143
  115    0.93 1086.79   0.10  778.03   0.11    -13.2    0.195     0.0147
  116    0.94 1086.78   0.11  778.11   0.11    -12.7    0.196     0.0154
  117    0.89 1086.68   0.11  778.12   0.11    -12.6    0.206     0.0164
  118    0.92 1086.97   0.11  778.23   0.11    -12.1    0.195     0.0162
  119    0.96 1086.99   0.11  777.92   0.11    -11.6    0.193     0.0167
  120    0.91 1087.04   0.11  778.13   0.12    -11.1    0.182     0.0164
  121    0.91 1086.83   0.11  778.05   0.11     -11.    0.171     0.0155
  122    0.92 1086.84   0.11  778.15   0.12     -11.    0.173     0.0157
  123    0.89 1086.99   0.11  778.36   0.12    -10.6    0.157     0.0148
  124    0.92 1087.04   0.12  778.33   0.12    -10.5    0.158      0.015
  125    1.00 1087.06   0.13  777.99   0.14    -10.3    0.157     0.0152
  126    0.99 1087.20   0.14  778.23   0.14    -10.3    0.167     0.0161
  127    0.88 1087.05   0.13  778.15   0.14    -10.5    0.164     0.0157
  128    0.90 1086.86   0.13  778.34   0.14    -10.2    0.158     0.0155
  129    1.02 1086.89   0.14  778.58   0.14    -9.77     0.17     0.0174
  130    1.02 1086.90   0.15  778.43   0.15    -9.49    0.166     0.0175
  131    0.96 1086.87   0.14  778.27   0.14    -9.28     0.16     0.0173
  132    0.98 1086.94   0.14  778.11   0.15    -9.17    0.157     0.0171
  133    0.89 1086.59   0.13  777.83   0.13    -9.23    0.144     0.0157
  134    0.96 1086.56   0.14  777.83   0.14    -8.87    0.146     0.0164
  135    0.85 1086.66   0.13  778.10   0.13     -8.9    0.143      0.016
  136    0.88 1086.66   0.13  778.03   0.13    -8.78    0.135     0.0154
  137    0.87 1086.63   0.13  777.93   0.14    -8.44    0.131     0.0155
  138    0.82 1086.68   0.13  777.72   0.13    -8.39    0.127     0.0151
  139    0.79 1086.64   0.13  777.88   0.13    -8.25    0.129     0.0156
  140    0.93 1086.43   0.15  777.96   0.15     -7.7    0.124     0.0161
  141    0.99 1086.64   0.16  777.50   0.17    -7.74    0.135     0.0174
  142    0.96 1086.73   0.17  777.66   0.17    -7.76     0.13     0.0168
  143    0.93 1086.74   0.17  777.78   0.17    -7.71    0.134     0.0174
  144    0.89 1086.76   0.17  777.87   0.18    -7.62    0.133     0.0175
  145    0.87 1086.92   0.17  777.91   0.18    -7.61    0.137     0.0181
  146    0.83 1086.56   0.16  777.82   0.17    -7.46    0.123     0.0165
  147    0.83 1086.56   0.16  777.82   0.16    -7.01    0.116     0.0166
  148    0.86 1086.63   0.16  778.16   0.16    -6.94     0.12     0.0173
  149    0.86 1086.63   0.16  778.11   0.17    -6.66    0.121     0.0181
  150    0.80 1086.52   0.15  777.93   0.16    -6.58    0.118      0.018
  151    0.79 1086.40   0.16  777.99   0.16     -6.6    0.114     0.0173
  152    0.77 1086.22   0.16  777.84   0.16    -6.54    0.113     0.0172
  153    0.83 1086.37   0.16  777.92   0.16    -6.17    0.112     0.0181
  154    0.86 1086.26   0.17  778.21   0.18    -6.25    0.109     0.0175
  155    0.97 1086.23   0.18  777.84   0.18     -6.2    0.109     0.0176
  156    0.92 1086.15   0.17  778.11   0.18     -6.2    0.111     0.0179
  157    0.91 1086.17   0.18  778.25   0.19    -5.96    0.108     0.0182
  158    0.87 1086.06   0.17  777.89   0.18    -6.04    0.108      0.018
  159    0.87 1085.93   0.18  777.69   0.19    -5.68    0.108      0.019
  160    0.87 1085.92   0.17  777.80   0.18    -5.67    0.104     0.0183
  161    0.96 1086.08   0.18  778.13   0.18    -5.54    0.101     0.0182
  162    1.02 1086.08   0.19  777.74   0.19    -5.52    0.108     0.0195
  163    0.98 1086.34   0.19  777.57   0.19    -5.38    0.101     0.0189
  164    0.97 1086.20   0.19  777.48   0.20    -5.39   0.0985     0.0183
  165    0.90 1086.40   0.18  777.81   0.19    -5.48      0.1     0.0183
  166    0.96 1086.18   0.20  777.95   0.20    -5.19   0.0974     0.0188
  167    0.97 1086.36   0.21  778.13   0.22    -5.01   0.0957     0.0191
  168    0.90 1086.03   0.20  777.78   0.21    -5.16    0.092     0.0178
  169    0.83 1086.16   0.18  777.71   0.19    -5.16   0.0942     0.0183
  170    0.91 1085.97   0.20  777.61   0.21    -5.04   0.0935     0.0185
  171    0.88 1085.93   0.20  777.77   0.21    -4.93   0.0923     0.0187
  172    0.89 1086.13   0.21  778.06   0.21    -4.82   0.0916      0.019
  173    0.81 1086.65   0.19  778.48   0.20    -4.95   0.0883     0.0178
  174    0.81 1086.53   0.20  778.15   0.20    -4.94   0.0902     0.0183
  175    0.84 1086.32   0.21  777.98   0.22    -4.85   0.0874      0.018
  176    0.84 1086.52   0.22  777.86   0.22    -4.69   0.0871     0.0186
  177    0.83 1086.29   0.22  777.66   0.22    -4.56   0.0902     0.0198
  178    0.82 1086.55   0.21  778.05   0.22     -4.6   0.0867     0.0188
  179    0.86 1086.59   0.22  777.94   0.22    -4.55   0.0826     0.0182
  180    0.92 1086.26   0.23  777.85   0.24    -4.37   0.0869     0.0199
  181    0.86 1086.24   0.22  777.44   0.23    -4.32   0.0872     0.0202
  182    0.86 1086.01   0.22  777.08   0.23    -4.21   0.0822     0.0196
  183    0.85 1086.83   0.22  777.38   0.23    -4.13   0.0801     0.0194
  184    0.81 1086.41   0.22  777.30   0.23     -4.1   0.0797     0.0195
  185    0.87 1086.23   0.22  777.30   0.23    -3.97   0.0835      0.021
  186    0.93 1086.23   0.24  777.30   0.24    -3.71   0.0811     0.0218
  187    0.88 1085.96   0.23  777.47   0.24    -3.75   0.0835     0.0223
  188    0.93 1086.27   0.24  777.61   0.24    -3.77   0.0773     0.0205
  189    0.97 1086.27   0.25  777.61   0.25    -3.59   0.0813     0.0227
  190    0.88 1086.35   0.23  777.56   0.23    -3.68   0.0819     0.0222
  191    1.00 1086.35   0.26  777.56   0.27    -3.35     0.08     0.0239
  192    0.93 1086.45   0.26  777.16   0.26     -3.4   0.0763     0.0224
  193    0.90 1086.41   0.25  776.34   0.26    -3.59    0.075     0.0209
  194    0.97 1086.24   0.25  777.10   0.26    -3.54   0.0726     0.0205
  195    0.98 1086.24   0.26  777.10   0.27    -3.48   0.0736     0.0212
  196    0.92 1086.47   0.25  776.80   0.26    -3.36   0.0722     0.0215
  197    0.96 1086.68   0.27  776.53   0.28    -3.38   0.0705     0.0208
  198    0.90 1086.81   0.26  776.73   0.27     -3.4   0.0717     0.0211
  199    0.93 1086.52   0.26  776.65   0.27    -3.34   0.0699     0.0209
  200    0.90 1086.56   0.26  777.23   0.27    -3.23   0.0718     0.0222
  201    0.92 1086.07   0.27  777.14   0.28    -3.11   0.0737     0.0237
  202    1.02 1085.95   0.29  777.14   0.29    -3.14   0.0765     0.0244
  203    0.99 1085.73   0.29  776.58   0.30     -3.1    0.076     0.0245
  204    0.96 1085.95   0.28  776.05   0.29    -3.25   0.0731     0.0225
  205    1.01 1085.57   0.30  776.60   0.31     -3.1   0.0719     0.0232
  206    1.00 1085.51   0.30  776.28   0.31    -2.99   0.0691     0.0231
  207    1.04 1085.58   0.30  775.90   0.31     -3.1   0.0698     0.0225
  208    0.99 1085.58   0.29  775.90   0.30    -3.04   0.0682     0.0224
  209    0.97 1086.21   0.30  776.20   0.31    -3.01   0.0649     0.0216
  210    1.04 1086.29   0.33  776.35   0.34     -2.8    0.067     0.0239
  211    1.01 1086.49   0.31  776.81   0.32    -2.83   0.0691     0.0244
  212    0.94 1085.73   0.30  776.33   0.31    -2.86   0.0635     0.0222
  213    0.86 1086.17   0.29  776.91   0.30    -2.93   0.0628     0.0214
  214    0.82 1086.17   0.28  776.91   0.29    -2.84    0.062     0.0219
  215    0.84 1086.17   0.28  776.91   0.29    -2.78   0.0605     0.0218
  216    0.81 1086.17   0.30  776.91   0.31    -2.77   0.0634     0.0229
  217    0.83 1086.17   0.31  776.91   0.32    -2.65   0.0631     0.0238
  218    0.76 1085.48   0.29  776.40   0.29    -2.68   0.0627     0.0234
  219    0.80 1085.56   0.30  775.49   0.31    -2.72   0.0598      0.022
  220    0.79 1085.31   0.32  775.10   0.33    -2.81   0.0653     0.0233
  221    0.83 1085.31   0.35  775.10   0.36    -2.73   0.0616     0.0226
  222    0.81 1084.67   0.34  774.80   0.35    -2.81   0.0618      0.022
  223    0.82 1085.36   0.34  774.94   0.35    -2.71   0.0597      0.022
  224    0.87 1084.69   0.35  775.01   0.36    -2.55   0.0603     0.0236
  225    0.89 1085.02   0.35  775.50   0.37    -2.51   0.0601     0.0239
  226    0.84 1085.19   0.34  775.87   0.35    -2.47   0.0575     0.0233
  227    0.82 1086.03   0.33  775.58   0.34    -2.47    0.057      0.023
  228    0.80 1085.19   0.32  775.38   0.33    -2.47   0.0567     0.0229
  229    0.83 1085.19   0.33  775.38   0.34    -2.39   0.0564     0.0236
  230    0.87 1085.19   0.35  775.38   0.36    -2.25   0.0565     0.0251
  231    0.82 1085.61   0.33  776.00   0.34    -2.32   0.0546     0.0235
  232    0.81 1085.89   0.33  776.40   0.34    -2.31   0.0549     0.0238
  233    0.78 1085.73   0.33  776.14   0.34    -2.28   0.0549     0.0241
  234    0.85 1085.79   0.35  776.53   0.36    -2.19   0.0567     0.0259
  235    0.82 1085.79   0.34  776.53   0.35    -2.24   0.0577     0.0258
  236    0.77 1085.31   0.34  775.78   0.35    -2.25   0.0579     0.0257
  237    0.82 1085.19   0.35  776.08   0.36    -2.18   0.0546     0.0251
  238    0.77 1085.67   0.33  775.80   0.34    -2.25   0.0524     0.0233
  239    0.84 1085.67   0.36  775.80   0.37    -2.22   0.0545     0.0246
  240    0.85 1085.00   0.37  775.56   0.38    -2.19   0.0542     0.0248
  241    0.84 1085.45   0.37  775.26   0.38    -2.16   0.0535     0.0248
  242    0.87 1086.05   0.38  776.15   0.40    -2.08   0.0535     0.0257
  243    0.87 1086.05   0.38  776.15   0.40    -1.98   0.0552     0.0278
  244    0.82 1085.55   0.37  776.21   0.39    -2.01   0.0516     0.0257
  245    0.79 1085.55   0.34  776.21   0.35    -2.08   0.0532     0.0255
  246    0.81 1086.00   0.35  776.88   0.36    -2.01   0.0529     0.0263
  247    0.75 1085.66   0.34  776.37   0.35    -2.06   0.0539     0.0262
  248    0.78 1085.66   0.35  776.37   0.37      -2.   0.0503     0.0251
  249    0.83 1085.66   0.38  776.37   0.39    -1.91    0.051     0.0268
  250    0.83 1085.60   0.38  775.74   0.39     -1.9   0.0482     0.0254
  251    0.80 1085.53   0.38  775.41   0.39    -1.95   0.0485     0.0248
  252    0.85 1084.24   0.38  775.56   0.39    -1.98   0.0464     0.0234
  253    0.77 1084.27   0.35  775.54   0.36    -2.04   0.0458     0.0225
