# row       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E
#     pixel**1/4                                                            

    1    0.00000   -10.8    INDEF    INDEF        INDEF        INDEF   INDEF
   75    2.93297   -8.28  8.87E-4  8.86E-4     6.8617E7     6.9892E7   -19.6
   76    2.94283   -8.25  9.18E-4  9.18E-4     6.9574E7     7.0822E7   -19.6
   77    2.95259   -8.23  8.80E-4  8.80E-4     7.0548E7     7.1710E7   -19.6
   78    2.96226   -8.21  8.97E-4  8.97E-4     7.1369E7     7.2621E7   -19.6
   79    2.97183    -8.2  8.31E-4  8.30E-4     7.2155E7     7.3559E7   -19.6
   80    2.98131   -8.18  7.97E-4  7.96E-4     7.2958E7     7.4414E7   -19.7
   81    2.99070   -8.16  8.23E-4  8.24E-4     7.3892E7     7.5318E7   -19.7
   82    3.00000   -8.14  8.05E-4  8.03E-4     7.4645E7     7.6222E7   -19.7
   83    3.00922   -8.12  8.59E-4  8.58E-4     7.5410E7     7.7101E7   -19.7
   84    3.01835   -8.11  9.40E-4  9.40E-4     7.6386E7     7.8001E7   -19.7
   85    3.02740   -8.08  9.18E-4  9.17E-4     7.7230E7     7.8843E7   -19.7
   86    3.03637   -8.07  9.60E-4  9.60E-4     7.7928E7     7.9777E7   -19.7
   87    3.04526   -8.05  0.00103  0.00103     7.8853E7     8.0613E7   -19.7
   88    3.05408   -8.03  0.00106  0.00106     7.9690E7     8.1490E7   -19.8
   89    3.06281   -8.02  0.00101  0.00101     8.0504E7     8.2340E7   -19.8
   90    3.07148     -8.  9.60E-4  9.59E-4     8.1435E7     8.3157E7   -19.8
   91    3.08007   -7.97  9.10E-4  9.09E-4     8.2323E7     8.4061E7   -19.8
   92    3.08859   -7.96  8.98E-4  8.97E-4     8.3082E7     8.4880E7   -19.8
   93    3.09704   -7.94  8.80E-4  8.80E-4     8.3869E7     8.5710E7   -19.8
   94    3.10542   -7.93  8.22E-4  8.22E-4     8.4555E7     8.6544E7   -19.8
   95    3.11374   -7.91  8.77E-4  8.77E-4     8.5379E7     8.7370E7   -19.8
   96    3.12199   -7.89  8.62E-4  8.62E-4     8.6263E7     8.8230E7   -19.8
   97    3.13017   -7.88  8.62E-4  8.62E-4     8.7063E7     8.9017E7   -19.8
   98    3.13829   -7.86  8.88E-4  8.86E-4     8.7822E7     8.9840E7   -19.9
   99    3.14635   -7.85  8.72E-4  8.71E-4     8.8653E7     9.0672E7   -19.9
  100    3.15434   -7.83  8.92E-4  8.91E-4     8.9431E7     9.1473E7   -19.9
  101    3.16228   -7.81  8.66E-4  8.66E-4     9.0365E7     9.2327E7   -19.9
  102    3.17015   -7.79  9.26E-4  9.25E-4     9.1254E7     9.3091E7   -19.9
  103    3.17797   -7.78  9.44E-4  9.44E-4     9.1964E7     9.3926E7   -19.9
  104    3.18573   -7.77  9.43E-4  9.42E-4     9.2710E7     9.4715E7   -19.9
  105    3.19344   -7.75  9.92E-4  9.92E-4     9.3388E7     9.5489E7   -19.9
  106    3.20109   -7.74  0.00103  0.00103     9.4104E7     9.6299E7   -19.9
  107    3.20868   -7.72  0.00117  0.00117     9.5179E7     9.7063E7   -19.9
  108    3.21622    -7.7  0.00127  0.00126     9.5901E7     9.7869E7    -20.
  109    3.22371   -7.69  0.00125  0.00125     9.6737E7     9.8645E7    -20.
  110    3.23115   -7.67  0.00117  0.00117     9.7440E7     9.9408E7    -20.
  111    3.23853   -7.66   0.0011   0.0011     9.8062E7     1.0018E8    -20.
  112    3.24587   -7.65  0.00105  0.00105     9.8701E7     1.0094E8    -20.
  113    3.25315   -7.64  0.00104  0.00104     9.9347E7     1.0172E8    -20.
  114    3.26039   -7.62  0.00105  0.00105     1.0011E8     1.0248E8    -20.
  115    3.26758   -7.61  9.91E-4  9.90E-4     1.0081E8     1.0323E8    -20.
  116    3.27472    -7.6    0.001    0.001     1.0151E8     1.0402E8    -20.
  117    3.28182   -7.58  9.96E-4  9.95E-4     1.0215E8     1.0476E8    -20.
  118    3.28887   -7.57  9.70E-4  9.69E-4     1.0298E8     1.0550E8    -20.
  119    3.29587   -7.55  9.77E-4  9.77E-4     1.0375E8     1.0623E8    -20.
  120    3.30283   -7.54  9.62E-4  9.61E-4     1.0433E8     1.0698E8    -20.
  121    3.30975   -7.52  9.28E-4  9.27E-4     1.0522E8     1.0773E8   -20.1
  122    3.31662   -7.51  9.87E-4  9.86E-4     1.0584E8     1.0845E8   -20.1
  123    3.32346    -7.5  9.65E-4  9.64E-4     1.0650E8     1.0916E8   -20.1
  124    3.33025   -7.49  0.00103  0.00103     1.0717E8     1.0989E8   -20.1
  125    3.33699   -7.47  0.00113  0.00113     1.0780E8     1.1066E8   -20.1
  126    3.34370   -7.47  0.00121   0.0012     1.0833E8     1.1138E8   -20.1
  127    3.35037   -7.46  0.00118  0.00118     1.0888E8     1.1210E8   -20.1
  128    3.35700   -7.44  0.00116  0.00116     1.0967E8     1.1278E8   -20.1
  129    3.36359   -7.42  0.00118  0.00118     1.1064E8     1.1351E8   -20.1
  130    3.37014   -7.41   0.0012   0.0012     1.1127E8     1.1424E8   -20.1
  131    3.37665    -7.4  0.00115  0.00115     1.1192E8     1.1495E8   -20.1
  132    3.38312   -7.39  0.00116  0.00116     1.1265E8     1.1565E8   -20.1
  133    3.38956   -7.38  0.00108  0.00108     1.1334E8     1.1634E8   -20.1
  134    3.39596   -7.36   0.0011   0.0011     1.1421E8     1.1707E8   -20.1
  135    3.40233   -7.35  0.00103  0.00103     1.1474E8     1.1777E8   -20.1
  136    3.40866   -7.34  0.00106  0.00106     1.1547E8     1.1843E8   -20.2
  137    3.41495   -7.33  0.00105  0.00105     1.1608E8     1.1915E8   -20.2
  138    3.42121   -7.32  0.00103  0.00103     1.1666E8     1.1983E8   -20.2
  139    3.42744   -7.31  0.00103  0.00103     1.1724E8     1.2052E8   -20.2
  140    3.43363   -7.29  0.00111  0.00111     1.1804E8     1.2121E8   -20.2
  141    3.43979   -7.28  0.00124  0.00123     1.1863E8     1.2187E8   -20.2
  142    3.44592   -7.27  0.00128  0.00128     1.1917E8     1.2257E8   -20.2
  143    3.45201   -7.27  0.00131  0.00131     1.1964E8     1.2324E8   -20.2
  144    3.45807   -7.26  0.00133  0.00133     1.2003E8     1.2392E8   -20.2
  145    3.46410   -7.25  0.00135  0.00135     1.2064E8     1.2459E8   -20.2
  146    3.47010   -7.24  0.00126  0.00126     1.2137E8     1.2529E8   -20.2
  147    3.47607   -7.22  0.00115  0.00115     1.2228E8     1.2596E8   -20.2
  148    3.48200   -7.21  0.00118  0.00117     1.2297E8     1.2661E8   -20.2
  149    3.48791    -7.2  0.00116  0.00116     1.2363E8     1.2727E8   -20.2
