# row  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
#                                                                 pixel

    1   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
  378 0.00312   -0.0179 0.00391  2172     0   100     2      4.02   2.0
  379 0.00307   -0.0139 0.00347  2178     0   100     2      3.49   2.0
  380 0.00401   -0.0196  0.0048  2184     0   100     2      2.84   2.0
  381  0.0029   -0.0112   0.003  2218     0    10     0        1.   2.0
  382 0.00284   -0.0102 0.00289  2223     0    10     0      1.61   2.0
  383 0.00263   -0.0138  0.0027  2229     0    10     0      1.02   2.0
  384 0.00324   -0.0234 0.00337  2242     0    10     0      1.06   2.0
  385 0.00345   -0.0225 0.00357  2248     0   100     2      1.22   2.0
  386  0.0062   -0.0416 0.00649  2254     0    10     0      4.18   2.0
  387  0.0061   -0.0425 0.00641  2260     0   100     2      2.02   2.0
  388 0.00552   -0.0327 0.00568  2266     0   100     2      1.46   2.0
  389 0.00559   -0.0408 0.00591  2272     0    10     0      1.21   2.0
  390 0.00552   -0.0394 0.00583  2267     0    10     0      1.67   2.0
  391 0.00588   -0.0449 0.00631  2279     0    11     0      4.48   2.0
  392 0.00567   -0.0438 0.00606  2285     0    11     0        4.   2.0
  393 0.00481    -0.037 0.00508  2291     0   100     2      1.45   2.0
  394 0.00399   -0.0322 0.00419  2290     0    10     0      2.42   2.0
  395  0.0047   -0.0396   0.005  2296     0    10     0      1.28   2.0
  396 0.00382   -0.0299   0.004  2302     0    10     0      2.49   2.0
  397 0.00333   -0.0243 0.00344  2308     0   100     2      2.39   2.0
  398 0.00506   -0.0426 0.00541  2303     0    11     0      3.94   2.0
  399 0.00389   -0.0329  0.0041  2309     0   100     2     0.929   2.0
  400 0.00516    -0.044 0.00558  2314     0    10     0      2.67   2.0
  401 0.00356   -0.0369 0.00386  2338     0    10     0      1.96   2.0
  402 0.00508   -0.0441 0.00548  2325     0    10     0      3.82   2.0
  403 0.00435   -0.0381 0.00464  2331     0   100     2      3.74   2.0
  404 0.00423    -0.041 0.00457  2337     0    11     0       2.9   2.0
  405 0.00447   -0.0386 0.00477  2343     0    10     0      2.12   2.0
  406 0.00434   -0.0384 0.00462  2348     0    11     0      2.14   2.0
  407 0.00423   -0.0389 0.00454  2354     0   100     2      3.04   2.0
  408 0.00377    -0.031 0.00395  2360     0   100     2      2.23   2.0
  409 0.00348   -0.0309 0.00368  2366     0   100     2      1.76   2.0
  410 0.00348   -0.0334 0.00371  2372     0   100     2      1.63   2.0
  411 0.00334   -0.0339  0.0036  2377     0   100     2      1.77   2.0
  412 0.00407   -0.0367 0.00434  2364     0    11     0      2.58   2.0
  413 0.00357   -0.0291 0.00376  2370     0   100     2      1.75   2.0
  414 0.00357   -0.0287 0.00375  2376     0   100     2      1.47   2.0
  415 0.00391   -0.0357 0.00416  2382     0    11     0      2.35   2.0
  416  0.0041   -0.0382  0.0044  2387     0    11     0      2.52   2.0
  417 0.00338   -0.0318  0.0036  2393     0    10     0       1.3   2.0
  418 0.00326   -0.0274 0.00343  2399     0   100     2      2.06   2.0
  419 0.00298   -0.0237  0.0031  2405     0   100     2      2.22   2.0
  420  0.0034   -0.0303 0.00362  2410     0   100     2      1.29   2.0
  421  0.0033    -0.029  0.0035  2432     0    10     0       1.7   2.0
  422  0.0031   -0.0292 0.00327  2438     0   100     2      0.64   2.0
  423 0.00303   -0.0227 0.00311  2444     0   100     2      1.84   2.0
  424 0.00355   -0.0318 0.00372  2426     0    10     0      2.47   2.0
  425 0.00284   -0.0244 0.00295  2432     0   100     2      2.45   2.0
  426 0.00314   -0.0272 0.00326  2439     0   100     2       1.4   2.0
  427 0.00303   -0.0255 0.00316  2444     0   100     2      2.25   2.0
  428 0.00309   -0.0262 0.00324  2450     0   100     2      2.18   2.0
  429 0.00289   -0.0199 0.00297  2478     0    10     0      1.63   2.0
  430 0.00324   -0.0257 0.00341  2483     0   100     2      1.64   2.0
  431 0.00352   -0.0202 0.00349  2489     0   100     2      1.66   2.0
  432 0.00327   -0.0243 0.00335  2482     0    10     0       1.2   2.0
  433 0.00331   -0.0306 0.00356  2487     0    10     0      1.28   2.0
  434 0.00299   -0.0252 0.00313  2493     0   100     2      1.28   2.0
  435 0.00371    -0.022 0.00378  2500     0    10     0      1.74   2.0
  436 0.00428   -0.0267 0.00571  2520     0    11     0     0.963   2.0
  437 0.00792   -0.0335 0.00999  2513     0    59     0      1.32   2.0
  438 0.00334   -0.0209 0.00336  2519     0    19     0       1.7   2.0
  439 0.00734   -0.0274 0.00809  2525     0   100     2     0.985   2.0
  440 0.00407   -0.0263 0.00478  2531     0    62     0      1.58   2.0
  441 0.00313   -0.0169 0.00314  2537     0    16     0     0.781   2.0
