# row  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4
#                                                                        

    1   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF
  311   -20.8 264043 301893   0.00379   0.002   -0.0154 0.00207   0.00166
  312   -20.8 265773 303809   0.00409 0.00206   -0.0135 0.00212  -0.00178
  313   -20.8 266539 305777   0.00501 0.00204   -0.0107 0.00207   0.00119
  314   -20.8 268533 307713   0.00383 0.00207   -0.0103 0.00211  -0.00121
  315   -20.8 270273 309681   8.21E-4 0.00203  -0.00825 0.00207   0.00468
  316   -20.8 272237 311709   2.85E-4 0.00205  -0.00852 0.00209   0.00278
  317   -20.8 274011 313677   2.07E-4 0.00194  -0.00989 0.00198   0.00245
  318   -20.8 275685 315653   0.00379 0.00197  -0.00419 0.00198   6.11E-4
  319   -20.8 279371 317649  -3.87E-4 0.00191  -0.00869 0.00194  -0.00137
  320   -20.8 279447 319665   6.67E-4 0.00188  -0.00594  0.0019  -7.27E-4
  321   -20.8 281241 321657   5.75E-4 0.00188  -0.00364 0.00189   0.00234
  322   -20.9 282999 323637   0.00136 0.00193  -0.00187 0.00194   0.00336
  323   -20.9 284753 325653   0.00104 0.00178   3.85E-4 0.00179   0.00208
  324   -20.9 286515 327717   0.00397 0.00186  -1.67E-4 0.00186   0.00299
  325   -20.9 287311 329749    0.0019 0.00183  -0.00157 0.00184   0.00166
  326   -20.9 289073 331801   0.00199 0.00192  -0.00182 0.00193   0.00131
  327   -20.9 289759 333809   0.00244 0.00185  -0.00298 0.00186   0.00338
  328   -20.9 293559 335881   -0.0026  0.0019  -0.00617 0.00192    0.0012
  329   -20.9 292581 337965  -7.69E-4 0.00193  -0.00549 0.00194   0.00295
  330   -20.9 297997 340037  -0.00243 0.00195  -0.00849 0.00197  -4.44E-4
  331   -20.9 298725 342077  -8.56E-5 0.00186  -0.00824 0.00189  -0.00307
  332   -20.9 297883 344157  -0.00461 0.00194  -0.00653 0.00195  -0.00105
  333   -20.9 303797 346209   7.10E-4 0.00201  -0.00321 0.00202  -0.00615
  334   -20.9 305001 348281   0.00263 0.00195   -0.0029 0.00196  -0.00271
  335   -20.9 305881 350433   0.00392 0.00203  -0.00462 0.00204  -0.00297
  336   -20.9 305081 352517  -0.00455 0.00201  -0.00378 0.00202   0.00375
  337   -20.9 308085 354629  -0.00631 0.00227   -0.0103  0.0023   0.00491
  338   -20.9 309733 356725   -0.0079 0.00303  -0.00881 0.00305   0.00691
  339   -20.9 309407 358805  -0.00911 0.00329   -0.0154 0.00335    0.0121
  340   -20.9 308345 361001   -0.0121 0.00298   -0.0141   0.003   0.00717
  341   -20.9 309921 363145  -0.00958 0.00302   -0.0133 0.00305   0.00832
  342   -20.9 311769 365289  -0.00689 0.00301    -0.018 0.00316   0.00782
  343   -20.9 313593 367413  -0.00715 0.00292   -0.0181  0.0032   0.00719
  344   -20.9 315463 369525  -0.00404 0.00286   -0.0155 0.00302   0.00506
  345   -20.9 321581 371749   0.00203  0.0026  -0.00983 0.00267   0.00428
  346   -20.9 323459 373865   6.06E-4  0.0029  -0.00873 0.00305    0.0051
  347   -20.9 320861 376081  -5.15E-4 0.00287   -0.0119 0.00328   0.00515
  348   -20.9 325287 378225   0.00288 0.00244  -0.00512 0.00246   0.00257
  349   -20.9 327173 380425  -0.00145 0.00236   -0.0095 0.00242   9.12E-5
  350   -20.9 329049 382605   0.00203 0.00228  -0.00527  0.0023   0.00361
  351   -20.9 330939 384765  -1.56E-4 0.00217   -0.0069  0.0022   0.00222
  352   -20.9 332845 386981  -3.15E-4 0.00195  -0.00522 0.00196   0.00194
  353   -20.9 334733 389201  -0.00141 0.00196  -0.00743 0.00198   0.00109
  354   -20.9 336605 391433  -0.00332 0.00219   -0.0088 0.00222   0.00108
  355   -20.9 339477 393657  -0.00285 0.00215   -0.0092 0.00217   7.12E-4
  356   -20.9 339525 395849  -0.00174 0.00218  -0.00795 0.00221  -4.60E-4
  357   -20.9 339945 398125   2.07E-4 0.00224  -0.00591 0.00225   0.00457
  358   -20.9 341841 400325  -3.19E-4 0.00221  -0.00726 0.00223  -6.20E-5
  359   -20.9 346105 402613   0.00325 0.00215  -0.00778 0.00217   5.40E-4
  360   -20.9 348063 404841   0.00388 0.00215   -0.0103 0.00218   0.00297
  361   -20.9 350001 407073   0.00961  0.0021  -0.00675  0.0021  -1.51E-4
  362   -20.9 353613 409377   0.00699 0.00205  -0.00571 0.00205   0.00286
  363   -20.9 355561 411613   0.00372 0.00209   -0.0104 0.00214   0.00259
  364   -20.9 357549 413909   0.00633 0.00216  -0.00887 0.00219  -0.00363
  365   -20.9 359509 416157   0.00453 0.00211   -0.0118 0.00217  -0.00471
  366   -20.9 356043 418517   0.00749 0.00231   -0.0122 0.00235  -0.00306
  367   -20.9 358023 420801   0.00748 0.00238   -0.0146 0.00246  -0.00182
  368   -20.9 359967 423097   0.00997 0.00246   -0.0106 0.00248   0.00387
  369   -20.9 361933 425385    0.0164  0.0031   -0.0137 0.00307   0.00544
  370   -20.9 363889 427709    0.0253 0.00661   -0.0135 0.00585    0.0231
  371   -20.9 365865 430085    0.0263 0.00609   -0.0208 0.00556    0.0207
  372   -20.9 367887 432381    0.0173 0.00462   -0.0124 0.00419    0.0163
  373    -21. 369869 434685    0.0128 0.00354   -0.0148  0.0037   0.00725
  374    -21. 371849 437025    0.0115 0.00349   -0.0135 0.00365    0.0085
  375    -21. 373849 439369    0.0182 0.00487   -0.0169 0.00478    0.0156
  376    -21. 375791 441785    0.0109 0.00409   -0.0187 0.00482    0.0085
  377    -21. 377813 444093    0.0132 0.00404   -0.0202 0.00473   0.00328
  378    -21. 379849 446469   0.00388 0.00317   -0.0183 0.00396   0.00206
  379    -21. 381879 448837   0.00379  0.0031   -0.0149 0.00354   0.00304
  380    -21. 383905 451193    0.0184 0.00472   -0.0167  0.0046   0.00553
  381    -21. 395403 453601    0.0178 0.00311   -0.0212 0.00321   0.00145
  382    -21. 397513 455929    0.0169 0.00295    -0.021 0.00302  -0.00256
  383    -21. 399619 458369    0.0169 0.00274   -0.0202 0.00278  -0.00371
  384    -21. 404227 460789    0.0263 0.00343   -0.0288 0.00348  -0.00555
  385    -21. 406327 463189    0.0258 0.00362   -0.0298 0.00368  -0.00545
  386    -21. 408449 465613    0.0539 0.00677   -0.0187 0.00628    0.0205
  387    -21. 410625 468025    0.0559 0.00673   -0.0222 0.00622     0.021
  388    -21. 412737 470481    0.0504 0.00601   -0.0148 0.00556    0.0199
  389    -21. 414863 472889    0.0469 0.00607   -0.0234 0.00575    0.0141
  390    -21. 413351 475337    0.0455 0.00597   -0.0231 0.00569    0.0121
  391    -21. 417681 477821    0.0474 0.00641   -0.0292 0.00615   0.00682
  392    -21. 419845 480229    0.0465 0.00616   -0.0285 0.00591    0.0127
  393    -21. 421985 482709    0.0407 0.00518    -0.025   0.005   0.00927
  394    -21. 421847 485129    0.0386 0.00431   -0.0192 0.00412   0.00945
  395    -21. 424005 487625    0.0384 0.00504   -0.0221 0.00487   0.00899
  396    -21. 426179 490153    0.0345 0.00409   -0.0217 0.00397   0.00743
  397    -21. 428311 492585    0.0288 0.00351   -0.0163 0.00342   0.00571
  398    -21. 426681 495101    0.0403 0.00544   -0.0228 0.00524    0.0112
  399    -21. 428831 497533    0.0328 0.00414   -0.0234 0.00406   0.00469
  400    -21. 430971 500109    0.0337 0.00547   -0.0331 0.00549  -9.17E-5
  401    -21. 439353 502625     0.023 0.00375   -0.0282 0.00382  -4.22E-4
  402    -21. 434989 505113      0.03 0.00533   -0.0352 0.00542  -0.00922
  403    -21. 437155 507665    0.0233 0.00452   -0.0344 0.00466  -0.00712
  404    -21. 439329 510165    0.0255 0.00443   -0.0367 0.00459  -0.00719
  405    -21. 441535 512733    0.0293  0.0047   -0.0397 0.00486   -0.0073
  406    -21. 443725 515245    0.0219 0.00449   -0.0358 0.00466  -0.00969
  407    -21. 445917 517773    0.0249 0.00442    -0.036 0.00458    -0.011
  408    -21. 448143 520377    0.0224 0.00391   -0.0361 0.00408   -0.0112
  409    -21. 450327 522897    0.0205 0.00362   -0.0334 0.00376  -0.00529
  410    -21. 452515 525497    0.0232 0.00365   -0.0313 0.00375   -0.0085
  411    -21. 454733 528045    0.0197 0.00349   -0.0311 0.00363  -0.00684
  412    -21. 450045 530605    0.0192 0.00421   -0.0379 0.00442  -0.00296
  413    -21. 452241 533213    0.0202  0.0037   -0.0351 0.00389  -0.00744
  414    -21. 454453 535797    0.0198  0.0037   -0.0353 0.00388  -0.00494
  415    -21. 456651 538385    0.0238 0.00408   -0.0378 0.00426  -0.00652
  416    -21. 458865 540977    0.0264  0.0043   -0.0397  0.0045  -0.00949
  417    -21. 461103 543657    0.0219 0.00354   -0.0408  0.0038  -0.00638
  418    -21. 463331 546237     0.019 0.00338    -0.032 0.00353  -0.00646
  419    -21. 465545 548837    0.0164 0.00307   -0.0313 0.00324  -0.00817
  420    -21. 467763 551429    0.0184 0.00352    -0.032  0.0037  -0.00972
  421    -21. 475915 554113   0.00927 0.00335    -0.031 0.00359    -0.011
  422    -21. 478211 556769   0.00769 0.00314   -0.0301 0.00334   -0.0124
  423    -21. 480479 559409   0.00956 0.00305   -0.0345 0.00331   -0.0138
  424    -21. 473995 562081    0.0152 0.00361   -0.0373 0.00386   -0.0161
  425    -21. 476205 564733    0.0143  0.0029   -0.0301 0.00308   -0.0127
  426    -21. 478907 567453   0.00932 0.00316   -0.0318 0.00338   -0.0161
  427    -21. 481207 570085    0.0115 0.00307   -0.0291 0.00326   -0.0126
  428    -21. 483461 572745   0.00752 0.00312   -0.0284 0.00332    -0.013
  429    -21. 493957 575449    0.0111  0.0029   -0.0283 0.00316   -0.0143
  430    -21. 496299 578153    0.0143 0.00327   -0.0334 0.00363   -0.0164
  431    -21. 498609 580833   0.00854 0.00342   -0.0326 0.00376   -0.0231
  432    -21. 495823 583485    0.0098 0.00327    -0.032 0.00351   -0.0183
  433    -21. 498127 586165    0.0107 0.00333   -0.0345  0.0037   -0.0159
  434    -21. 500451 588973   0.00898 0.00302   -0.0264  0.0032   -0.0119
  435    -21. 503311 591665    0.0116 0.00362   -0.0283 0.00398   -0.0193
  436    -21. 511129 594457  -8.54E-4 0.00384   -0.0351  0.0068   -0.0124
  437   -21.1 508535 597129   0.00684 0.00521   -0.0464  0.0131   -0.0241
  438   -21.1 510903 599857   0.00669 0.00338   -0.0312 0.00342   -0.0198
  439   -21.1 513235 602645  -9.45E-4 0.00444   -0.0438  0.0117   -0.0237
  440   -21.1 515563 605381   0.00501 0.00407   -0.0298   0.005  -0.00734
  441   -21.1 517923 608189   0.00312 0.00315   -0.0349 0.00322   -0.0196
