YYYYMMDD, 000014, 000021, 000028, 000029, 000030, 000038, 000042, 000048, 000054, 000058, 000107, 000214, 000229, 000231, 000232, 000234, 000236, 000239, 000244, 000272, 000339, 000350, 000351, 000462, 000465, 000468, 000483, 000708, 000951, 001051, 001394, 001427, 001684, 001686, 002006, 002062, 002762, 003919, 003946, 003991, 003994, 004002, 004004, 007682
2000,1165.7,724.6,706.4,635.6,646.4,900.8,645.2,1310.9,537.8,2233.7,905.0,818.1,564.0,455.4,1442.5,1582.5,577.7,786.7,1156.7,1886.5,781.9,1195.0,765.0,1089.4,553.3,603.8,579.7,652.0,355.0,1079.2,2319.3,907.8,1367.6,623.1,1853.5,292.5,755.8,255.9,407.8,659.7,440.0,1966.8,645.8,676.2
2001,1314.0,842.3,708.7,596.8,544.5,836.1,839.6,1277.5,626.8,2531.7,851.0,734.8,491.1,422.6,1128.9,1058.2,413.6,1011.7,1482.9,1339.4,614.4,737.8,638.3,724.7,478.9,938.3,685.1,652.5,660.1,987.3,2208.5,839.8,1210.0,673.4,2088.2,400.4,873.1,352.3,322.6,690.6,561.2,1992.1,780.6,612.1
2002,1391.6,1079.2,398.7,513.5,480.0,684.4,1061.7,1338.5,762.5,2226.2,808.8,809.8,461.5,500.6,1458.2,1676.9,621.1,1048.3,1275.8,2079.4,449.4,977.6,733.0,847.9,390.3,777.7,789.4,440.3,497.8,723.1,1964.9,482.7,1667.4,814.9,2209.9,430.6,981.6,557.8,454.2,778.0,615.7,1965.2,949.6,444.8
2003,953.3,616.5,573.6,633.6,478.1,457.1,614.3,836.9,428.3,1881.0,705.5,870.2,476.1,776.2,1520.5,1348.9,768.1999999999999,614.6,859.2,1310.7,481.4,762.4,516.2,858.9,468.7,544.2,423.6,584.5,449.4,978.0,1792.3,462.5,1088.5,420.9,1318.0,350.2,566.3,437.4,433.2,448.4,458.4,1216.1,447.5,482.5
2004,1135.2,986.2,828.6,683.3,596.9,547.4,710.4,1061.0,630.2,2093.2,835.8,551.1,328.1,683.9,1249.0,1431.9,543.7,793.4,1070.9,1934.7,647.0,803.8,726.4,907.3,413.9,816.4,618.6,726.4,581.9,1246.2,1352.1,716.9,1356.3,800.1,1741.0,674.6,658.8,406.9,460.4,617.0,563.9,1464.1,656.4,630.7
2005,1214.4,989.4,647.6,628.1,644.6,423.5,677.7,1130.3,617.1,2244.9,674.7,433.4,228.8,296.2,1054.8,1363.2,504.7,706.0,1041.9,1745.8,696.6,776.3,454.6,818.9,460.5,612.2,623.4,649.9,603.5,1184.0,1517.1,637.2,1421.1,1110.4,1570.9,649.9,603.2,298.2,229.4,604.2,474.4,1610.7,701.3,491.3
2006,1096.4,752.6,522.8,507.9,408.4,612.9,599.3,1112.0,502.3,1918.3,980.1,962.7,452.1,556.8,1552.5,1248.8999999999999,528.2,1028.5,1134.5,1823.7,490.9,954.0,589.2,1263.6,561.3,763.3,516.3,586.9,520.8,768.7,2134.0,709.7,1194.8,627.4,1555.8,458.4,850.6,499.8,439.7,654.8000000000001,537.6,1641.0,648.4,442.3
2007,1169.5,896.6,723.0,644.4,540.6,654.7,830.0,1297.0,798.3,2334.3,849.4,529.0,314.8,392.7,976.3,1536.1,516.2,952.0,1152.9,1665.8,743.5,773.7,708.1,1036.1,554.3,806.1,774.5,642.5,513.6,1466.8,1092.7,595.2,1119.0,687.1,2725.0,493.7,782.7,518.3000000000001,368.4,798.8,706.9,1779.3,739.0,633.9
2008,1067.1,768.4,786.0,846.8,600.2,558.6,699.7,1040.6,553.8,2062.9,828.1,826.2,431.0,437.9,1379.1,1909.5,631.8,869.6,1212.7,2101.0,715.0,1039.7,695.8,1058.5,546.8,966.9,749.4,760.5,673.7,1167.9,1461.9,703.5,1323.9,655.5,1913.7,423.90000000000003,766.6,502.1,491.6,586.0,472.3,1504.5,566.2,617.4
2009,1401.3,814.9,658.8,491.4,498.9,537.1,644.9,1028.0,599.1,2070.8,724.8,1090.2,436.0,597.8,1064.6,1700.9,339.6,765.0,1098.3,2178.9,537.5,871.3,570.0,854.5,643.8,716.2,664.0,496.2,444.8,781.7,1872.8,652.5,1488.8999999999999,1009.6,1699.7,461.7,752.0,557.3,305.4,654.9,460.0,1421.7,646.3,488.5
2010,994.8,1134.5,663.6,584.9,515.8,623.5,560.4,1143.5,646.6,1949.1,654.4,1591.0,774.3,1207.0,1229.1,1477.8,432.90000000000003,815.1999999999999,1010.9,1282.0,504.4,736.2,503.7,849.1,659.8,725.5,885.8,573.6,585.9,714.7,1585.0,576.8,1733.8,957.0,1733.3,582.4,845.7,559.6,432.2,618.8,733.2,1550.1,729.9,495.3
