*******************************************************
GTC-OSIRIS-R500R spectra of A, B and G on 27 March 2014
*******************************************************
UNITS:				lambda in angstrom (A)
			flux in 10^{-17} ergs/cm^2/s/A
******************************************************* 
   	         flux
         -------------------
lambda     A     B      G
******************************
8529.861 3.584 3.690 2.255
8534.677 3.623 3.619 2.256
8539.494 3.627 3.578 2.361
8544.311 3.536 3.625 2.238
8549.127 3.472 3.661 2.189
8553.944 3.425 3.464 2.435
8558.760 3.440 3.656 1.907
8563.577 3.461 3.602 2.154
8568.393 3.419 3.463 2.315
8573.210 3.443 3.632 1.899
8578.026 3.438 3.523 2.078
8582.843 3.433 3.640 1.863
8587.660 3.353 3.450 2.313
8592.476 3.461 3.591 2.181
8597.293 3.375 3.546 2.137
8602.109 3.411 3.495 2.055
8606.926 3.443 3.466 2.236
8611.742 3.375 3.442 2.241
8616.559 3.299 3.495 2.085
8621.375 3.390 3.580 2.114
8626.192 3.502 3.604 1.989
8631.009 3.516 3.471 2.022
8635.825 3.495 3.450 2.171
8640.642 3.366 3.418 2.209
8645.458 3.345 3.474 2.184
8650.275 3.613 3.506 1.990
8655.091 3.530 3.370 2.273
8659.908 3.541 3.452 2.200
8664.725 3.511 3.543 1.980
8669.541 3.442 3.394 2.175
8674.358 3.499 3.299 2.533
8679.174 3.534 3.486 1.987
8683.991 3.653 3.619 2.089
8688.807 3.541 3.556 2.195
8693.624 3.620 3.595 2.171
8698.440 3.614 3.512 2.292
8703.257 3.547 3.458 2.317
8708.074 3.570 3.470 2.452
8712.890 3.655 3.518 2.379
8717.707 3.690 3.508 2.307
8722.523 3.702 3.582 2.144
8727.340 3.705 3.619 2.013
8732.156 3.682 3.553 2.324
8736.973 3.798 3.661 2.165
8741.789 3.780 3.659 2.016
8746.606 3.831 3.697 2.009
8751.423 3.839 3.726 2.260
8756.239 3.843 3.715 2.362
8761.056 3.802 3.482 2.666
8765.872 3.976 3.478 2.623
8770.689 3.810 3.608 2.775
8775.505 3.933 3.785 1.699
8780.322 3.924 3.731 1.883
8785.139 3.964 3.454 2.270
8789.955 3.938 3.537 2.239
8794.772 3.941 3.530 2.266
8799.588 3.994 3.467 2.061
8804.405 3.936 3.589 2.063
8809.221 4.004 3.552 2.290
8814.038 4.094 3.652 2.173
8818.854 4.275 3.772 2.307
8823.671 4.158 3.586 2.581
8828.488 4.117 3.754 1.986
8833.304 4.081 3.478 2.732
8838.121 4.238 3.644 2.254
8842.937 4.188 3.608 2.377
8847.754 4.259 3.591 1.995
8852.570 4.263 3.812 1.708
8857.387 4.284 3.660 2.032
8862.203 4.244 3.557 2.326
8867.020 4.327 3.781 2.032
8871.837 4.307 3.711 2.183
8876.653 4.318 3.727 2.150
8881.470 4.413 3.754 1.914
8886.286 4.376 3.711 1.846
8891.103 4.354 3.609 1.849
8895.919 4.397 3.599 2.200
8900.736 4.434 3.647 2.224
8905.553 4.527 3.757 1.879
8910.369 4.624 3.803 1.725
8915.186 4.575 3.513 2.549
8920.002 4.639 3.538 2.485
8924.819 4.582 3.548 2.524
8929.635 4.618 3.740 2.244
8934.452 4.655 3.533 2.422
8939.268 4.546 3.591 2.371
8944.085 4.610 3.623 2.505
8948.902 4.586 3.550 2.145
8953.718 4.482 3.454 2.035
8958.535 4.443 3.461 2.043
8963.351 4.462 3.462 1.881
8968.168 4.602 3.543 1.749
8972.984 4.693 3.627 1.753
8977.801 4.760 3.478 1.994
8982.617 4.849 3.418 1.930
8987.434 4.909 3.493 1.860
8992.251 5.085 3.586 1.705
8997.067 5.204 3.564 1.754
9001.884 5.315 3.496 2.035
9006.700 5.576 3.552 1.998
9011.517 5.702 3.517 2.277
9016.333 6.114 3.760 1.708
9021.150 6.229 3.586 2.127
9025.967 6.518 3.871 1.987
9030.783 6.739 4.049 1.907
9035.600 7.008 4.152 1.894
9040.416 6.993 3.928 2.375
9045.233 7.133 3.880 2.199
9050.049 7.150 4.025 2.026
9054.866 7.028 4.047 2.062
9059.682 6.982 4.135 1.721
9064.499 6.742 4.036 1.827
9069.316 6.490 3.877 1.912
9074.132 6.233 3.829 2.026
9078.949 6.064 3.748 2.239
9083.765 6.007 3.771 1.877
9088.582 5.790 3.655 1.963
9093.398 5.636 3.631 1.890
9098.215 5.395 3.661 1.963
9103.031 5.159 3.500 2.402
9107.848 5.123 3.665 2.047
9112.665 4.988 3.676 1.857
9117.481 4.769 3.586 1.846
9122.298 4.638 3.458 2.056
9127.114 4.461 3.366 2.117
9131.931 4.357 3.275 2.076
9136.747 4.260 3.256 1.947
9141.564 4.114 3.330 1.872
9146.381 4.077 3.309 1.779
9151.197 4.000 3.153 2.014
9156.014 3.829 3.115 2.016
9160.830 3.878 3.120 1.747
9165.647 3.825 3.130 1.851
9170.463 3.683 3.173 1.705
9175.280 3.706 3.152 1.912
9180.096 3.596 3.044 2.090
9184.913 3.644 3.105 2.082
9189.730 3.581 3.089 2.172
9194.546 3.654 3.182 2.009
9199.363 3.743 3.192 2.070
9204.179 3.659 3.163 2.060
9208.996 3.656 3.182 2.017
9213.812 3.577 3.134 2.160
9218.629 3.628 3.196 1.976
9223.446 3.680 3.163 1.727
9228.262 3.553 3.002 1.985
9233.079 3.528 3.043 2.115
9237.895 3.410 3.028 2.295
9242.712 3.371 2.994 2.125
9247.528 3.380 3.111 1.926
9252.345 3.310 3.057 2.089
9257.161 3.380 3.076 2.026
